단어,설명
"국제부흥개발은행 (國際復興開發銀行,IBRD: International Bank for Reconstruction & Development) ","전쟁으로 파괴된 가맹국의 경제부흥과 저개발국의 경제개발을 위한 장기융자를 목적으로 1944년 7월 브레튼우스의 유엔통화금융회의에서 논의되어 1945년 12월 27일 설립되었다. 일명 세계은행이라고도 한다. 이 은행의 주 목적은 제2차 세계대전 후 세계경제의 부흥 및 저개발국의 경제개발을 위하여 가맹국의 정부나 기업에게 대출을 해주는 것이다. 가맹국은 반드시 IMF의 가맹국이어야 하며, 본부는 미국의 워싱턴에 있고, 우리나라는 1955년 8월 26일에 가입했다. IBRD는 총회, 이사회, 총재와 사무국으로 구성되어 있다. 총회는 최고의결기관이며 각 가맹국을 대표하는 대표위원과 대리위원으로 구성되어 있다. 이사회는 출자액 순위중 상위 5개국인 미국, 영국, 독일, 프랑스와 일본이 임명한 5명의 이사와 기타 가맹국의 위원이 선출한 16명 등 총 21명의 이사로 구성되어 있다. 총재는 이사회에서 선출되며 이사회가 결정하는 바에 따라 사무국을 지도하고 일상업무를 집행한다. "
"국제유동성 (國際流動性, international liquidity) ","유동성이란 일반적으로 화폐로 대표되는 것과 같은 유동적인 자산이라는 뜻이다. 국제거래가 발생하면 이에 따라 대외채권, 채무가 발생하며 지급에 대비하여 대외적으로 지급능력이 있는 대외준비자산(external reserves)을 보유하지 않으면 안 되는데, 이를 국제유동성이라 한다. 국제유동성으로서의 역할을 하려면, 국제적 결제력이 있어야 하며, 통화당국이 필요한 때에 무조건 사용할 수 있어야 한다. "
국제입찰 ,"국제입찰의 일반적 정의로는 물품 구매기관, 즉 정부, 정부투자기관 또는 일반기업이 특정 또는 불특정 다수인에게 문서 또는 공공 홍보 수단을 통해 가격과 납기 등 판매 조건을 일정기간 내에 제시하게 하고, 그 중에서 가장 유리한 조건을 제시하는 업체나 개인을 선택하여 계약하는 것을 말한다. 국제입찰을 공적 부실채권정리전담기구인 한국자산관리공사식 정의로 표현하면, 한국자산관리공사가 수행하고 있는 국제입찰은 각 금융기관으로부터 인수한 다량의 부실채권과 담보부동산 등의 자산을 조기에 현금화하여, 공적자금의 회수와 조달을 원활히 하기 위해 이를 Pool별로 묶거나 혹은 개별로 경쟁입찰의 방식을 통하여 제3자에게 직접 매각하는 것을 말한다. "
국제통화기금 (IMF: International Monetary Fund) ,"1944년 브레튼우즈에서 조인된 국제통화기금협정에 의거 설립된 국제금융기구이다. 통화에 관한 국제협력을 촉진하여 세계무역의 확대를 도모하고, 가맹국의 고용과 소득증대 및 생산자원 개발에 기여함을 목적으로 1947년 3월부터 IBRD(International Bank for Reconstruction and Development:세계은행)와 함께 업무를 개시하였다. IMF는 제2차 세계대전 후의 금융 외환기구를 마련하여 외환을 안정시킴으로써 세계무역의 확대, 세계경제의 발전에 크게 기여하였다고 평가된다. 그러나 미국 달러를 중심으로 한 국제 금환본위제의 성격을 띠고 있기 때문에 국제거래 증가에 따른 국제유동성 증가는 미국의 국제수지 적자를 일으키고, 이는 다시 달러 신인도를 하락시키는 모순이 있다. 반대로 달러 신인도를 회복시키려면 미국 국제수지의 균형을 도모해야 하는데 이는 국제유동성을 감소시키는 결과를 가져온다. IMF의 주요활동은 외환시세 안정, 외환제한 제거, 자금공여 등이다. "
"국제투자금융 (國際投資金融, international investment banking) ","투자금융이란 증권회사나 투자은행이 증권의 발행과 인수, 주식과 채권의 매입, 인수 등에 관련된 금융업무를 가리킨다. 미국과 같이 상업은행과 투자은행이 구분되어 있는 나라에서 상업은행이 투자금융 업무를 취급하고자 하여 관심을 끌고 있다. 근래에는 증권발행과 인수업무 이외에도 리스, 스왑과 투자자문 업무까지도 투자금융에 포함시키는 경우가 많다. 우리나라의 경우에는 상업은행과 증권회사(투자은행)가 확연히 구분되어 업무영역이 다르므로 국내 투자금융은 취급할 수 없고 제한을 받지 않는 국제금융시장에서 투자금융의 취급이 가능하므로 국제투자금융의 성격이 강하다. 현재 외환은행 등의 국제투자부에서 취급하고 있는 투자금융을 보면, 증권인수업무, 신디케이트 론, 국제리스, 국제무역금융(프로젝트금융, 연계무역금융 등), 스왑 등 장기리스크관리, 투자자문업무(해외투자 및 외국인투자) 등이다. "
"국제투자은행(國際投資銀行, international investment bank) ","수개국에 걸치는 은행, 증권회사가 국적을 넘어서 국제적인 자금조달 및 운용을 하기 위해 합작투자로 설립하는 은행을 말한다. 최근엔 자본시장의 국제화 진전과 더불어 금융, 증권계가 해외업무에 적극적으로 관여하는 자세를 강화하고 있다. "
"국채 (國債, government bonds) ","국가에서 세입의 부족을 보충하기 위해 발행하는 채권으로서 정부가 원리금 지급을 보장하므로 기업들이 발행하는 회사채에 비해 안전성이 높다는 장점이 있다. 국내에서 발행하는 것을 내국채, 외국에서 발행하는 경우를 외국채라 한다. 국채는 상환시기에 따라 1년 이내의 단기국채와 1년 이상의 장기국채로 구분되는데, 1995년 7월 26일 국내 최초로 발행기간이 가장 긴 만기 7년짜리, 이자지급 방법은 6개월마다 입찰때 결정된 금리로 지급하는 이표채가 발행됐다. 만기시 원금과 이자를 일괄지급 하는 방식을 복리채라 한다. 용도에 따라서 적자국채, 건설국채, 군사국채(군사비 조달을 위한 것) 등으로 나누어진다. 대표적인 국채로는 국민주택채권1, 2종 국채관리기금채권 양곡증권 등이 있다. 미국이나 일본 등 선진국의 경우 채권시장에서 국채가 차지하는 비중이 50%를 넘을 만큼 국채가 활성화되어 있다. "
권리행사 (exercise) ,"권리행사는 옵션을 매입한 자가 약정된 가격(exercise price/strike price)으로 해당권리를 행사하는 것을 말하는데, 권리행사와 동시에 해당 기초자산을 취득하거나 처분하게 된다. "
귀속재산 ,단기 4281년(1948년) 9월 11일부 대한민국 정부와 미국 정부간에 체결된 재정 및 재산에 관한 최초협정 제5조의 규정에 의하여 대한민국 정부에 이양된 8. 15 광복 이전 일본인 소유였던 일체의 재산을 말한다. 
근로시간 면제제도(Time-Off),"(정의)노조원들의 노무관리적 성격의 활동을 근무시간으로 인정해 임금을 지급하도록 하는 제도. ""단체협약으로 정하거나 사용자의 동의에 의해 근로시간면제 한도 내에서 사용자와의 협의, 교섭, 고충처리, 산업안전활동 등 노조법 또는 다른 법률에서 정하는 업무와 건전한 노사관계 발전을 위한 노동조합의 유지, 관리 업무를 수행하는 시간“에 대하여 근로의 제공을 면제받고 유급으로 인정하는 제도(해설)노조전임자 급여지급 금지원칙의 대안으로 제시됐으며 2009년 말 노사 간 합의에 따라 도입돼 2010년 7월 1일 이후 시행되고 있다. 회사 업무가 아닌 노조와 관련된 일만 담당하는 노조전임자에게 회사 측이 임금 지급을 금지하는 대신 노사 공통의 이해가 걸린 활동에 종사한 시간을 근무시간으로 인정해 이에 대해 임금을 지급하는 제도이다."
근원 인플레이션 (core inflation) ,"근원 인플레이션이란 석유파동/이상기후/제도변화 등 일반적으로 예상치 못한 일시적 외부충격에 의한 물가변동분을 제거한 후 산출되는 장기적인 물가상승률로서 핵심물가지수상승률이라고도 한다. 학문적으로 정형화된 개념이라기보다는 거시경제정책 수립과 집행을 위한 기초자료로 활용하기 위해 만든 것이라고 할 수 있다. 경기위축 상황에서 외부 충격요인에 의해 물가가 상승할 경우 통화신용정책을 긴축적으로 운용하는 것은 오히려 경제에 악영향을 줄 우려가 있기 때문에 인플레이션 목표(inflation targeting)제도 운영국가 등 각국에서는 일반적인 소비자물가 상승률 외에도 근원 인플레이션을 활용하고 있다. 근원인플레이션은 대체로 소비자물가보다 낮은 패턴을 보이지만 장기적으로 두 지수가 비슷한 수준으로 수렴하기도 한다. 근원 인플레이션을 작성하는 방법에는, 첫째 전체물가 변동 중에서 식료품/에너지가격의 급등 등 일시적인 충격을 제거하는 방법, 둘째 생산요소 비용의 장기추세로 보는 방법, 셋째 통화수급과 실물경제의 잠재적 공급능력 등 생산물의 수급관계를 감안한 잠재 인플레이션으로 측정하는 방법 등이 있다. "
근저당 ,"계속적인 거래관계로부터 발생하는 다수의 불특정 채권을 장래의 결산기에서 일정한 한도까지 담보하려는 저당권을 말한다. 근저당 설정은 은행 등 금융기간이 주로 행하며 융자 희망자가 담보융자 신청을 하면 은행은 담보물 감정을 하고 융자 여부를 결정한 다음 근저당을 설정하고 융자를 해준다. 근저당의 설정은 물권적 합의와 등기에 의하며, 등기할 때는 담보할 채권최고액을 반드시 등기해야 한다. 채권최고액은 융자희망자가 최대한도로 융자 받을 수 있는 금액을 말한다. 예를 들면 융자 희망자가 시가 1억원의 주택을 은행에 담보로 제공하면 은행은 그 주택의 위치, 주택연한, 도시계획 등을 검토하여 감정가를 정하는데 대개는 담보물 시가의 70~80% 선이다. 여기서 산출된 감정가에서 20~30%는 이자, 경매대금 등으로 감소되는데 최종 남은 액수가 채권최고액이 된다. 당사자간의 약정에 의하여 한도액의 범위 내에서는 담보액의 변동이 가능하다."
글로벌 소싱 (global sourcing) ,"기업의 구매활동 범위를 범세계적으로 확대하여, 외부조달 비용의 절감을 시도하는 구매전략을 말한다. 포스트 리엔지니어링(post reengineering) 활동의 일환으로서 매우 유용한 비용절감 수단이다. 해외 건설공사를 수주한 업체가 공사의 모든 공정을 혼자 도맡아 하지 않고, 각각의 공정별로 다른 업체에 하도급을 주어 공사를 추진하는 방식이 대표적인 예이다. 이러한 시공방법은 현장관리를 위하여 투입되는 인건비와 차량을 비롯한 장비투입 경비 등이 감소될 뿐만 아니라, 부가가치도 높여 주는 건설관리사업(CM) 분야의 일종으로서 여러 기업들에서 많이 채택되고 있다. 1997년 3월부터 폴란드 바르샤바에 짓기 시작한 대우 비즈니스 센터 공사에 이 방식이 도입되었는데, 시공은 영국의 보이스, 설계는 미국의 RTKL, 설비관리는 대우그룹 계열인 동우공영 폴란드 법인, 분양과 마케팅은 영국의 할리 & 바커와 조운즈 랭 우든, 호텔 운영은 미국의 힐튼호텔이 각각 맡았다. "
"금리 (金利, interest rate) ","자금을 대차(貸借)할 때 부과하는 사용료를 금리라 한다. 이자(利息)가 동의어이기는 하지만 이자가 추상적인 개념인데 비해, 금리는 자금시장에서 구체적으로 거래되고 있는 자금의 사용료 또는 임대료이다. 자금을 대출할 때는 대출해 주는 사람이 차용하는 사람에게 사용료를 부과하고 있는데, 그 외에도 대출에 소요되는 각종 수수료, 위험부담을 위한 보험료, 원금을 반환할 시기의 화폐가치 하락에 대한 손실에 대비하는 보상금 등을 부과하기도 한다. 금리는 이처럼 여러 가지 요소가 있는데, 이 중에서도 자금의 사용료인 금리만을 가리켜 금리의 가장 본질적인 순수금리라고 한다. 자금의 수요와 공급의 관계에서 정하여지는 금리가 주로 이 부분이다. 한편, 대출 후에 일정한 기간 동안 수수 되는 금리의 원금에 대한 비율을 이자율이라 하는데, 1년에 대한 이자비율을 연리, 1개월에 대한 비율을 월리라고 한다. 또한, 금리는 적용되는 장소에 따라 은행에서 사용하는 이자율을 공공금리 시장에서 적용되는 금리를 시장금리로 구분한다. "
"금리위험 (金利危險, interest rate risk) ","금리의 변동에 따라 발생하는 위험으로 금리리스크라고도 한다. 예를 들어 A은행이 1년 고정금리대출을 12%에 제공하였는데, 3개월 유로예금으로 이에 대처하였다면, 3개월 후에는 다른 유로예금으로 대출자원을 조성하여야 하는데, 현재 금리가 상승추세에 있다고 가정하면, 최초 3개월 유로예금은 10%에 조성하여 이를 12%에 대출함으로써 2%의 이익을 취득하였으나, 두 번째 3개월 유로예금은 금리가 상승하여 13%에 조성할 수 밖에 없었다면, 이 경우에는 이익이 발생하지 않고 오히려 1%의 손실이 발생할 것이다. 이와 같이 금리변동에 따른 위험을 금리리스크라 한다. 특히 이와 같은 위험을 사전적(ex ante)으로 파악한 개념을 금리 익스포주어(interest rate exposure)라고 한다. "
금융감독위원회 (FSC: Financial Supervisory Commission) ,"건전한 신용질서와 공정한 금융거래 관행을 확보하고 예금자 및 투자자 등 금융수요자를 보호함으로써 국민경제의 발전에 기여할 것을 목적으로 금융감독기구 설치 등에 관한 법률에 의하여 1998년 4월에 설립되었다. 특별법에 의해 행정권을 부여받아 금융감독에 관련된 규정의 개정, 금융기관에 대한 검사와 제재, 증권/선물시장의 감시기능 등 금융기관 감독에 대한 중요한 역할을 한다. 금융감독위원회는 금융감독관련 주요 사항을 심의/의결하고 금융감독원에 대한 지시/감독, 금융산업 및 기업의 구조조정을 추진한다. 금융감독위원회의 위원은 위원장, 부위원장과 상임위원, 재경부 차관, 한국은행 부총재, 예금보험공사 사장, 재정경제부 장관이 추천하는 회계전문가, 법무부장관이 추천하는 법률전문가, 대한상공회의소 회장이 추천하는 경제계 대표1인 총9명으로 구성되어 있다. "
"금융국제화 (金融國際化, internationalization of banking) ","금융의 글로벌화 또는 국제화란 여러 가지의 의미로 사용되나, 일반적으로 다음과 같은 뜻으로 사용된다. 첫째, 금융기관이 외국환 및 국제금융업무를 보다 많이 취급하는 것을 의미하며, 둘째, 국내외 금융기관이 상호진출을 많이 하는 것을 의미하며, 셋째, 국내금융시장이 국제금융시장과 관련이 많아지는 것을 의미하고, 넷째, 국내통화가 국제통화가 되어 그 사용범위가 넓어지는 것을 의미하며, 다섯째, 국내시장이 개방되는 것을 의미한다. "
금융글로벌화 (globalization of banking) ,"금융의 글로벌화는 금융국제화가 마지막 단계로 이행되는 것을 가리키며 이러한 단계의 금융을 global banking 또는 world banking이라고 한다. 금융기관이 세계 주요 금융시장에서 금융활동을 하게 되며 기존의 국제금융 외에 투자금융, 리스와 컨설팅 등을 많이 취급하게 된다. "
금융기관 부실자산 정리 ,한국자산관리공사가 금융기관으로부터 인수하거나 수탁받은 부실채권과 비업무용자산 등 부실자산의 정리업무와 이와 관련한 채무관계자에 대한 재산조사 업무수행을 말한다. 
금융기관의 당기순이익 ,영업활동에서 얻는 총이익에서 각종 충당금과 법인세를 공제해서 산출되는 것으로 부실채권에 따른 대손상각액이 적을수록 커지게 된다. 은행들은 고객의 예금을 대출 등에 운용한다. 
금융비용부담률 (金融費用負擔率) ,"금융비용부담률은 부도 및 법정관리신청 기업을 피해 투자하기 위한 필수적인 고려 항목이다. 한 기업의 금융비용을 총매출액으로 나눈 수치가 금융비용 부담률이다. 하지만 몇 % 이상이 좋다든지 나쁘다든지 하는 절대비교 수치는 없다. 동업종의 여러 회사와 비교해서 특별히 높은 경우 위험수위에 달했다고 볼 수 있다. 금융비용부담률은 특히 최근 몇 년간의 추세를 살펴보아야 하며, 전기에 비해 특별히 많이 증가했다면 회사 사정이 그 만큼 어려워졌다고 볼 수 있다. "
금융소득종합과세 (金融所得綜合課稅) ,"부부합산 금융소득(이자 및 배당 소득)이 연 4천만원을 초과하는 경우 개인누진소득세율로 종합과세 하는 것을 말한다. 금융소득이 4천만원 이하인 경우는 원천과세로 납세의무가 종결되며, 이자소득세율은 종전의 20%에서 15%로 인하되었다. 금융소득이 4천만원을 초과할 경우 초과금액에 대해서는 근로소득, 사업소득, 부동산임대소득 등 다른 종합소득과 합산해 10～40%의 누진세율로 종합과세 한다. 과세의 대상은 비과세소득과 분리과세대상 금융소득을 제외한 나머지 금융소득이다. 사채이자, 상장사 및 장외등록 법인의 대주주가 받는 배당소득, 비상장사의 주주가 받는 배당소득, 국외에서 받는 이자의 배당소득 등에 대해서는 금융소득이 4천만원 이하이더라도 다른 소득과 합산해 종합 과세한다. 1993년 8월에 도입된 금융실명제를 기반으로 1996년 1월부터 시행되었으나, 실제 과세는 1996년 귀속 이자소득분에 대해 1997년부터 이루어졌다. 1997년말 IMF 경제위기로 인해 유보되어 오다 2001년 1월부터 재시행 되고 있다. "
금융의 하부구조 (financial infrastructure) ,"금융의 하부구조란 지급결제제도, 신용평가제도, 증권시장, 선물시장 등과 같이 금융거래가 원할 하게 이루어질 수 있도록 지원하는 각종 제도적 장치를 말한다. 이는 도로, 항만시설 등과 같이 실물경제에 있어 생산에 직접 기여하지는 않으나 생산활동에 없어서는 안 되는 사회간접자본에 비유할 수 있다. 금융하부구조가 선진화되면 금융거래가 투명해지고 금융기관이 각종 위험을 회피할 수 있을 뿐만 아니라, 금융중개비용을 절감할 수 있게 됨으로써 금융의 효율성이 증진되는 효과가 있다. "
"금융자산 (金融資産, financial assets) ","개인이나 기업 또는 국민경제가 보유하는 자산(資産) 중에서 화폐 및 광의의 채권을 금융자산 이라 한다. 즉, 토지, 건물, 기계, 설비, 원료, 제품 등의 실물자산(實物資産)에 대하여 통화(현금, 예금), 유가증권, 대출금, 보험, 신탁, 기업간의 신용 등을 말하며, 이와 같은 것들을 국내 금융자산이라고도 한다. 이 외에 금 및 대외채권으로 이루어지는 대외 금융자산이 있다. 한편 J. 걸리, E. 쇼 등은 금융자산을 주식, 사채 등의 발행에 의하여 자금을 조달하는 직접금융에 의한 것을 직접금융(제1차 증권), 은행 등의 금융기관이 개재하여 자금을 융통하는 간접금융에 의한 것을 간접금융(제2차 증권)으로 분류하고 있다. 이것은 후자 가운데에서 은행 이외의 금융기관이 발행하는 채권(금융자산)이 금융구조에 미치는 영향을 중시하였기 때문이다.? "
"금융자유화 (金融自由化, liberalization of banking) ","금융자유화는 자금의 조달과 운용에 제한을 거의 받지않고 취급하는 것을 말한다. 따라서 조달에 따른 저축금리를 자유롭게 정하게 된다. 또한 은행의 업무영역이 확대되는 것을 의미하는데, 겸업주의은행(universal banking)이 되는 것을 가리킨다. 아울러 국제분야에 있어 무역/외환/자본과 용역에 관한 업무를 보다 더 자유롭게 취급하는 것을 말한다. 그러므로 금융자유화는 무역과 외환의 자유화, 자본의 자유화와 용역의 자유화를 전제로 한다. "
금융정보망 ,"금융기간의 컴퓨터를 연결하여 금융업무를 전자적으로 처리하는 네트워크 시스템을 금융정보망이라 한다. 금융정보망은 망구축 범위와 이용주체를 기준으로 1) 개별금융기관이 자체 업무를 처리하기 위하여 구축 운영하는 자체전산망, 2) 개별금융기관과 고객간의 업무를 처리하기 위하여 구축 운영하는 대고객 전산망, 3) 금융기관간의 공동업무를 처리하기 위하여 구축 운영하는 공동전산망 등으로 구분할 수 있으나, 이들 각 망은 상호 연결되어 포괄적인 네트워크 시스템으로 운영되기 때문에 이들 망 전체를 하나의 금융정보망으로 부르기도 한다. "
"금융제도 (金融制度, financial system) ","금융은 경제주체간에 이루어지는 자금의 융통을 말하며, 금융제도란 금융거래에 관한 일체의 체계와 규범을 총칭하는 것으로서 구체적으로는 금융기관, 금융수단 및 금융시장 등에 관한 총체적인 체계와 규범을 의미한다. 금융제도는 다른 모든 제도가 그러하듯 나라마다 정치, 경제, 문화 등의 역사적 배경에 따라 각기 상이한 모습을 갖게 된다. "
"금융증권화 (金融證券化, securitization of banking) ","금융의 증권화란 금융기관이 자금의 조달과 운용에서 종래보다 증권을 이용한 자금조달 및 운용이 확대되는 것으로 금융시장의 금융중개방식이 직접금융화 되거나 대출채권이 금융시장에서 증권화되는 현상으로 나타난다. 즉, 금융시장에서의 자금조달방식이 간접금융방식으로부터 주식/채권/기업어음 등 직접금융방식으로 전환되거나, 금융기관의 자금조달방식이 예금 등에서 CD/금융채 또는 수익증권, CMA 등 유가증권연계 금융상품으로 전환되고, 금융기관의 대출채권 또는 기업의 매출채권을 담보로 증권을 발행하는 것을 말한다. 이의 구체적인 사례를 열거하면 첫째, 국제금융시장에서 은행대출이 감소하고 증권발행이 증가하고 있으며, 둘째, 대형은행들이 자금조달과 운용에서 증권의 비중이 증대하고 있으며, 셋째, 채권의 유동화를 목적으로 대출채권을 담보로 하는 증권이 많이 발행되고 있음을 알 수 있다. "
"금융채권 (金融債券, financial bond) ","일반 금융기관의 예금은 주로 단기융자를 위한 자금을 흡수하는 수단으로 통용되고 있는데 반해, 금융채의 발행은 특별법에 의해 설립된 금융기관이 장기융자를 위한 자금을 흡수할 목적으로 발행하는 채권을 말한다. 일반적으로 무기명채권으로 발행되는 것이 보통이다. 상환방법은 상환시기가 미리 정해져 있는 것, 매입상각에 의해 수시상환 되는 것, 혹은 추첨에 의해 기한 이전에 상환되는 것 등 여러 가지가 있다. 발행기관별 금융채권으로는 한국은행이 발행하는 통화안정증권, 산업은행이 발행하는 산업금융채권, 장기신용은행이 발행하는 장기신용채권, 중소기업은행이 발행하는 중소기업금융채권, 주택은행이 발행하는 주택채권, 외환은행이 발행하는 원화표시 외국환금융채권, 종합금융회사가 발행하는 종합금융채권, 투자금융회사가 발행하는 투자금융채권 그리고 증권금융회사가 발행하는 증권금융채권 등이 있다. "
"금융통화위원회 (金融通貨委員會, Monetary Board) ","경제정책 중에는 통화량이나 금리를 조정, 경기를 조절하는 통화정책과 재정정책이 있는데, 통화신용정책을 결정하는 기구가 바로 금융통화위원회이다. 금융통화위원회는 통화신용의 운영관리에 관한 정책의 수립을 담당하기 위하여 한국은행에 설치된 합의제 의사결정기구이다. 한국은행법에 의해 한국은행 안에 설치되어 통화신용에 관한 정책수립 및 한국은행의 업무/운영/관리를 지시/감독하는 금융통화위원회(금통위)가 어떤 조직 형태를 띠고 어떻게 구성되며 운영되는가는 통화신용정책에 직접적인 영향을 미친다고 볼 수 있다. "
"금융혁명 (金融革命, revolution of banking)??? ","금융의 자유화, 글로벌화 및 증권화 현상을 통틀어 일컫는 말이다. 자유금리상품의 확대, 일렉트로닉스화 등을 배경으로 대규모의 자금이동이 일어나 금융질서가 크게 변화하는 일이다. 1978년경부터 미국에서 시작되어 최근에는 전세계적으로 두드러지게 나타나고 있다. 구체적으로는 고금리를 배경으로 자유금리상품 즉, 시장금리연동형의 금융상품 예컨대 MMF, SSC, MMC의 비중이 높아가고 있는 일, 금융의 증권화 현상에 따라 투자금융이 활발하게 이루어 지는 일, 유통업이 증권회사를 매수하기도 하고 대은행이 중소저축은행을 흡수하는 등 금융판도가 변동하고 있는 일, 금융기관에 대한 규제가 완화/철폐되는 등의 형태로 나타나고 있다. "
금전신탁 ,"수탁자가 금전을 신탁재산으로 예탁받아 이를 대출, 채권 등 적절한 투자대상에 운영하여 얻은 이익을 수익자에게 금전 등의 형태로 되돌려 주는 제도를 금전신탁이라 한다. 신탁업법 시행령에서는 금전신탁은 운용방법에 따라 특정 금전신탁과 불특정 금전신탁으로 분류하고 있다. 불특정 금전신탁에는 위탁자가 신탁재산의 운용방법에 대하여 아무런 지시를 하지 않은 것이나, 신탁금의 운용방법에 대하여 법령이 엄격한 제한을 가하고 있다. 특정 금전신탁은 신탁재산의 운용방법이 어느 특정인에 대한 대부 또는 특정 종목의 유가증권 매입 등으로, 위탁자에 의하여 구체적으로 한정되어 있어서 수탁자의 재량의 여지가 거의 없다. "
기금 (基金) ,기금은 예산 원칙의 일반적인 제약으로부터 벗어나 좀더 탄력적으로 운용할 수 있도록 특정 사업을 위해 보유?운용하는 특정 자금으로 일정한 목적을 위하여 적립하거나 준비하는 자금이라고 할 수 있다. 정부의 재정활동은 주로 일반회계/특별회계 등 예산에 의하여 운용되고 있으나 특정한 분야의 사업에 대하여 지속적이고 안정적인 자금지원이 필요한 경우에 예산과는 별도로 정부가 직접 기금을 조성해 운용하거나 민간이 조성하여 운용하는 기금에 출연함으로써 정부의 정책목적을 달성하고 있다. 통상 기금은 크게 공공기금과 기타기금으로 구분된다. 공공기금의 운용계획은 담당부처장이 수립하여 국무회의 의결을 거쳐 국회에 보고된다. 기타기금의 운영계획은 이러한 절차를 요구하지 않는다. 그러나 실질적 성격에 있어 공공기금과 기타기금은 대개 별 차이가 없는 것으로 알려져 있다. 그러나 기금은 재정의 투명성을 저해하고 경직성을 심화시키는 등의 문제점이 있는 것으로 지적된다. 즉 기금은 실질적으로는 예산과 마찬가지로 정부의 정책목적을 구현하기 위해 사용되고 있음에도 불구하고 국회의 통제범위에서 벗어나 있어 오용 및 남용의 가능성이 잠재해 있다.
"기명사채 (記名社債, registered bond) ","사채권(社債券)과 사채권자(社債權者)의 성명이 기재되어 있는 사채로 무기명사채에 대립되는 말이다. 회사가 사채의 발행에 있어서 특히 기명식, 무기명식에 한한다는 지정이 없는 경우에는 타인으로의 전환은 원칙으로 자유이지만, 채권을 기명 또는 무기명의 어느 하나에 한 한다는 규정이 있는 때에는 전환은 인정되지 않는다. 한국의 사채는 대부분이 무기명채권으로 발행되고 있으며, 금융채에 있어서도 원칙으로는 무기명채권이다. 기명사채의 양도는 의사표시와 채권의 인도에 의하여 이루어지며, 그 이전(移轉)으로 회사 또는 제3자에 대항하기 위하여서는 취득자의 성명과 주소를 사채원부(社債原簿)에 기재하고 성명을 채권에 기재하여야 한다.? "
기업개선작업 (Workout) ,"부실화의 정도가 심하지 않아서 재무차원의 구조조정이 수행될 경우 회생가능성이 큰 것으로 판단되는 기업들을 대상으로 해당 기업의 채권금융기관 등이 협상을 통해 대상기업의 재무구조개선 방안을 마련해 나가는 일련의 과정을 일컫는다. 워크아웃은 금융기관 간의 자율적인 협약에 따라 기업이 부담 가능한 채무범위를 초과하는 금액에 대해 다양한 형태의 채무조정을 하게 된다. 기업개선작업의 목적은 기업의 퇴출이 아니라 회생을 목표로 기업의 재무구조를 건실화시키는 것으로 회생가능기업의 기업개선방안 (workout plan)을 채권금융기관과 기업 등 이해관계자가 협상을 통해 마련하는 과정으로 기업개선작업은 기업이 완전 부실화되기 전 단계에서 이해당사자가 자율협약에 따라 기업회생을 추진하는 제도이며, 많은 시간과 비용이 소요되고 기업의 회생가능성도 낮은 법정관리/화의 등 법적 절차에 의한 방식보다 효율성이 앞선다. 워크아웃채권의 경우 기존채권의 금융조건 완화 시 일정기간 원금의 유예와 이자율의 감면 및 이자지급시기의 조정을 하는 것이 대부분인데, 이때 유예기간 만료시에 원금의 상환을 강제하지 않고 재협의하기로 약정을 하는 경우가 많다. 즉, 협약에 따른 원리금 상환스케쥴이 명확하지 않고 최종연도의 상환도 불투명하다고 볼 수 있다. "
"기업결합 (企業結合, business consolidation) ","법률적으로 독립하고 있는 몇 개의 기업이 출자 등의 자본적 연휴를 기초로 하는 지배?종속 관계에 의해 형성되는 것으로 콘체른(Konzern)이라고도 한다. 카르텔이 개별기업의 독립성을 보장하고, 트러스트가 동일산업 내의 기업합동인 점과는 대조적으로, 기업결합은 각종 산업에 걸쳐 다각적으로 독점력을 발휘하는 거대한 기업집단이다. 결합 방법으로는 주식의 상호소유(자본교환), 융자(자본첨가), 임원파견, 경영자의 인적결합, 이익협동, 경영위탁(경영임대차) 등이 있다.기업결합에는 자본의 유효한 활용을 목적으로 하는 금융자본형과, 생산 및 판매상의 필요에서 이루어진 산업자본형이 있다. 금융자본형 기업결합은 거의가 자본참가방법에 의해서 행하여지며, 산업자본형 기업결합도 자본참가가 없는 것은 아니다. 금융자본형의 기업결합이 산업자본형 결합보다 강력한데, 그 이유는 금융자본형의 기업결합에는 중심이 되는 금융기관이 존재하기 때문이며 그 최고의 형태가 지주회사(持株會社)를 정점으로 하는 기업결합이다. "
기업경기전망(실사)지수 (BSI: Business Survey Index) ,"기업활동의 실적/계획/경기동향 등에 대한 기업가들의 의견을 직접 조사, 이를 지수화한 것으로 전반적인 경기동향을 파악하는 지표이다. 기업경기실사지수라고도 한다. 기업가들의 경기에 대한 판단, 장래 전망 등을 설문지를 통해 조사한다. 기업가의 판단과 계획이 단기적인 경기변동에 중요한 영향을 미친다는 점에서 중요한 경기예측지표로 사용된다. BSI는 다른 경기지표와는 달리 기업가의 주관적이고 심리적인 요소까지 조사가 가능하고, 정부 정책의 파급효과를 분석하는 데 활용되기도 한다. 그러나 기업경기전망지수는 비교적 쉽게 조사되고 작성될 수 있지만 조사자의 주관적인 판단이 개입될 여지가 많은 것이 단점이다. 우리나라에서는 전국경제인연합회/상공회의소/산업은행/한국은행 등에서 조사/발표하고 있다. "
